,ID,O_LON,O_LAT,CLUSTER_LABEL
732,732,116.42703,39.94056,cluster4
735,735,116.371716,39.970233,cluster5
738,738,116.3881,39.86261,cluster13
742,742,116.428005,39.93068,cluster4
749,749,116.35023,39.9802,cluster1
750,750,116.3477,39.87326,cluster9
754,754,116.31674,39.8951,cluster2
757,757,116.38596,39.86989,cluster13
759,759,116.51379,39.91568,cluster22
761,761,116.374352,39.9706,cluster5
762,762,116.4688,39.98488,cluster33
763,763,116.332405,39.886776,cluster27
765,765,116.467733,39.989066,cluster33
770,770,116.45268,39.99163,cluster21
772,772,116.430847,39.982125,cluster3
774,774,116.45097,39.98801,cluster21
775,775,116.452898,39.966585,cluster4
777,777,116.454125,39.947763,cluster4
778,778,116.353332,39.887923,cluster23
780,780,116.34733,39.91611,cluster12
781,781,116.34963,39.93946,cluster15
784,784,116.457328,39.984705,cluster6
786,786,116.42125,39.96832,cluster10
787,787,116.38383,39.86225,cluster13
789,789,116.431,39.984892,cluster3
791,791,116.466433,39.932866,cluster0
797,797,116.313736,39.88744,cluster2
799,799,116.39592,39.963711,cluster10
800,800,116.365953,39.946477,cluster16
802,802,116.43911,39.94961,cluster4
807,807,116.45147,39.99989,cluster21
812,812,116.347022,39.922807,cluster12
819,819,116.31084,39.88271,cluster2
820,820,116.343166,39.9314,cluster32
823,823,116.351067,39.897839,cluster25
830,830,116.462792,39.943093,cluster4
831,831,116.3498,39.94014,cluster15
833,833,116.430115,39.938271,cluster4
835,835,116.4628,39.984948,cluster6
840,840,116.462916,40.007383,cluster26
847,847,116.4562,39.912133,cluster8
849,849,116.45126,39.994658,cluster21
850,850,116.418503,39.973155,cluster10
860,860,116.320351,39.882721,cluster2
861,861,116.3557,39.98039,cluster1
864,864,116.31492,39.88845,cluster2
865,865,116.42078,39.90742,cluster17
871,871,116.451366,39.99795,cluster21
873,873,116.45151,39.99655,cluster21
874,874,116.37692,39.88195,cluster11
878,878,116.375816,39.961433,cluster5
881,881,116.44768,39.94719,cluster4
882,882,116.434983,39.96535,cluster4
886,886,116.395833,39.973616,cluster10
888,888,116.34546,39.94117,cluster15
889,889,116.4149,39.992532,cluster3
890,890,116.45439,39.99964,cluster21
891,891,116.38705,39.85935,cluster13
893,893,116.3955,39.97162,cluster10
896,896,116.324799,39.991257,cluster29
904,904,116.42224,39.89101,cluster17
911,911,116.405908,39.895852,cluster17
914,914,116.38372,39.85549,cluster13
917,917,116.31349,39.89481,cluster2
918,918,116.428516,39.896716,cluster17
920,920,116.35171,39.87671,cluster9
921,921,116.387416,39.94995,cluster16
922,922,116.46236,39.94632,cluster4
925,925,116.46053,39.94594,cluster4
926,926,116.343802,39.931107,cluster32
930,930,116.313427,39.895962,cluster2
933,933,116.36555,39.8595,cluster13
940,940,116.339584,39.975353,cluster1
941,941,116.37439,39.94989,cluster16
