O_LON,O_LAT
116.258751,39.90749
116.43273,39.94576
116.41818,39.99232
116.472173,40.003732
116.266502,39.879453
116.476983,39.974416
116.301651,39.882149
116.352598,39.887693
116.41178,39.96788
116.377647,40.000393
116.237795,39.832478
116.24705,39.881266
116.50073,40.00561
116.45666,39.9992
116.55605,40.015716
116.35249,39.99995
116.44261,39.94942
116.261414,39.846355
116.269116,39.9555
116.467137,39.899303
116.46046,39.99583
116.318352,39.93132
116.29468,39.87953
116.512383,39.916983
116.45634,39.90724
116.46285,39.99635
116.39459,39.80612
116.45385,39.895816
116.44967,39.95526
116.427414,40.007416
116.586868,40.078381
116.25868,39.91938
116.322807,39.950577
116.415886,40.03912
116.38028,39.999245
116.473801,40.004582
116.4552,39.998566
116.45925,39.846442
116.28473,40.1091
116.42434,39.77966
116.42054,39.91776
116.44187,39.89798
116.49883,40.00387
116.680138,40.288284
116.449233,39.96945
116.39097,39.96178
116.413267,39.982102
116.4459,39.8559
116.372113,39.941172
116.306582,39.895195
116.58955,40.04685
116.48959,39.9792
116.42874,39.89244
116.3102,40.08176
116.3129,39.896216
116.49703,39.97447
116.352083,39.99995
116.382965,39.893623
116.5413,39.94356
116.286644,39.988865
116.25864,39.90964
116.502885,39.954565
116.388283,39.968414
116.44532,39.966023
116.320252,39.926895
116.535033,39.754716
116.49442,39.99637
116.4102,39.94826
116.26907,39.95878
116.42402,39.86464
116.24574,40.11998
116.537653,40.102182
116.42748,39.94741
116.374416,39.90275
116.32862,39.937052
116.33625,39.89607
116.40012,40.00396
116.3498,39.934933
116.24459,39.88833
116.41412,39.91419
116.28906,39.898988
116.39776,39.97549
116.42845,39.95328
116.366032,39.945707
116.386139,39.868694
116.30577,39.910437
116.46738,39.98347
116.36411,39.98624
116.411827,39.905127
116.42785,40.049866
116.353127,39.929188
116.233093,39.836083
116.37299,39.95555
116.2681,39.90511
116.38832,39.96369
116.31969,39.89005
116.55254,40.00995
116.290016,40.022883
116.41014,39.9678
116.39746,39.88601
116.22547,39.87689
116.26833,39.89867
116.3708,39.849166
116.25022,40.04563
116.41967,40.03805
116.303986,39.890026
116.227951,39.955124
116.471916,39.9221
116.349866,39.947466
116.383064,39.961788
116.334223,39.989347
116.5642,39.91462
116.380633,39.858366
116.382195,39.859329
116.37777,39.80189
116.315533,40.01775
116.33585,39.98549
116.42989,39.90273
116.42472,39.98167
116.427216,39.892216
116.32292,40.07588
116.444008,39.939476
116.409134,39.89534
116.41192,39.97586
116.43988,39.881718
116.46476,39.9813
116.346649,39.88826
116.42294,39.85677
116.36817,39.876913
116.30439,39.94239
116.425033,39.85993
116.37199,39.86267
116.43945,39.95553
116.46086,39.92827
116.3178,39.974966
116.42145,39.903316
116.648148,39.891432
116.47132,39.96563
116.483635,39.927738
116.523142,39.91599
116.26783,39.964191
116.425629,39.892235
116.31604,39.895187
116.328423,40.07238
116.33844,39.750742
116.449707,39.892872
116.44421,39.95892
116.3942,39.875433
116.42828,39.93915
