ID,ID,O_LON,O_LAT,CLUSTER_LABEL
7570,7570,116.414167,39.785727,cluster0
10030,10030,116.4559,39.94126,cluster0
3162,3162,116.597252,39.922542,cluster0
2755,2755,116.42034,39.86791,cluster0
5260,5260,116.415863,40.041214,cluster0
11252,11252,116.328133,40.002533,cluster0
522,522,116.22547,39.87689,cluster0
277,277,116.358818,39.846958,cluster0
2093,2093,116.42791,39.907,cluster0
2687,2687,116.425186,39.857342,cluster0
9275,9275,116.30996,39.98969,cluster0
529,529,116.471916,39.9221,cluster0
8649,8649,116.42027,39.94345,cluster0
7234,7234,116.472713,40.007387,cluster0
10599,10599,116.51558,39.87167,cluster0
7711,7711,116.40142,39.987835,cluster0
6840,6840,116.37473,39.93156,cluster0
2198,2198,116.273,39.91837,cluster0
10456,10456,116.4621,39.97857,cluster0
16701,16701,116.298546,39.86583,cluster0
4077,4077,116.43471,39.98471,cluster0
16167,16167,116.37114,39.9225,cluster0
11051,11051,116.33201,39.74878,cluster0
7768,7768,116.460916,40.01365,cluster0
257,257,116.63283,39.877348,cluster0
10838,10838,116.358627,39.917278,cluster0
9024,9024,116.3106,39.8761,cluster0
15931,15931,116.267448,39.888187,cluster0
3098,3098,116.432883,39.89645,cluster0
10784,10784,116.40234,39.9575,cluster0
16723,16723,116.514972,39.919425,cluster0
14385,14385,116.30984,39.92681,cluster0
14549,14549,116.50071,39.86614,cluster0
16072,16072,116.438573,39.893313,cluster0
3743,3743,116.444133,39.926266,cluster0
9557,9557,116.32644,40.02635,cluster0
15611,15611,116.3482,39.97473,cluster0
14067,14067,116.27899,39.84135,cluster0
15608,15608,116.427848,39.943532,cluster0
2370,2370,116.39592,39.89091,cluster0
14516,14516,116.377541,39.966675,cluster0
8815,8815,116.35372,39.86612,cluster0
15829,15829,116.277553,39.963808,cluster0
14405,14405,116.437716,39.90515,cluster0
12113,12113,116.37087,39.96702,cluster0
9209,9209,116.402083,39.993642,cluster0
15877,15877,116.34581,39.940105,cluster0
16321,16321,116.166794,39.923161,cluster0
10582,10582,116.37121,39.9603,cluster0
13012,13012,116.458687,39.975517,cluster0
6150,6150,116.31382,39.89196,cluster0
14319,14319,116.26769,39.88556,cluster0
10143,10143,116.31769,39.9513,cluster0
14093,14093,116.57148,39.905747,cluster0
4571,4571,116.471316,39.87795,cluster0
7744,7744,116.457892,39.899387,cluster0
11690,11690,116.340588,40.03888,cluster0
4014,4014,116.307205,39.922806,cluster0
54,54,116.33274,39.96929,cluster0
15634,15634,116.448033,39.95025,cluster0
7399,7399,116.35945,39.98008,cluster0
11766,11766,116.50497,40.0067,cluster0
9305,9305,116.451478,39.95467,cluster0
10339,10339,116.462766,40.000433,cluster0
4889,4889,116.497037,39.975672,cluster0
5805,5805,116.41261,39.90685,cluster0
2052,2052,116.2983,39.99448,cluster0
5650,5650,116.317066,39.955933,cluster0
6536,6536,116.408798,39.836578,cluster0
1226,1226,116.536053,39.91517,cluster0
302,302,116.331227,39.826315,cluster0
6725,6725,116.309952,39.922958,cluster0
2272,2272,116.395116,39.973883,cluster0
17692,17692,116.282158,39.930737,cluster0
15685,15685,116.37006,39.9978,cluster0
1403,1403,116.43358,39.85785,cluster0
17948,17948,116.4241,40.039616,cluster0
13960,13960,116.50131,40.00036,cluster0
1439,1439,116.43578,39.95385,cluster0
12516,12516,116.39154,39.96715,cluster0
8776,8776,116.45149,40.00016,cluster0
14796,14796,116.46077,39.92251,cluster0
3984,3984,116.38009,39.85544,cluster0
12933,12933,116.37344,39.95521,cluster0
7429,7429,116.43494,39.91903,cluster0
2535,2535,116.316215,39.895155,cluster0
11595,11595,116.50321,40.00844,cluster0
17832,17832,116.353989,39.985497,cluster0
17506,17506,116.33931,39.859882,cluster0
15866,15866,116.345733,40.006433,cluster0
6953,6953,116.37245,39.94835,cluster0
2608,2608,116.34642,39.90661,cluster0
5574,5574,116.51111,39.94425,cluster0
5839,5839,116.35542,39.95105,cluster0
15529,15529,116.42054,39.912682,cluster0
6611,6611,116.36198,39.915058,cluster0
9757,9757,116.328301,39.956177,cluster0
11878,11878,116.547716,39.922266,cluster0
7062,7062,116.4084,39.84655,cluster0
4659,4659,116.4006,39.922283,cluster0
14297,14297,116.37625,39.8007,cluster0
9317,9317,116.50351,40.04119,cluster0
4178,4178,116.444153,39.92107,cluster0
602,602,116.252662,39.945465,cluster0
2369,2369,116.33185,39.97711,cluster0
13660,13660,116.554083,39.907857,cluster0
11458,11458,116.434723,39.974735,cluster0
12955,12955,116.599605,39.91477,cluster0
7404,7404,116.13566,39.93987,cluster0
4475,4475,116.331537,39.73629,cluster0
4680,4680,116.298463,39.93654,cluster0
16815,16815,116.268234,39.946056,cluster0
9577,9577,116.393253,39.926073,cluster0
15706,15706,116.411316,39.919916,cluster0
